subj,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50
1,1,1,4,4,4,2,5,1,4,1,2,1,5,5,4,5,5,3,3,2,4,1,2,2,2,2,4,2,2,1,1,2,4,3,4,1,4,3,2,4,1,5,4,4,5,5,4,4,3,2
2,4,5,3,3,4,2,4,3,3,3,4,2,4,4,3,2,5,2,3,2,3,1,3,2,3,1,4,2,2,2,4,2,3,2,3,3,4,3,2,2,3,4,2,1,4,2,3,3,2,2
3,3,1,5,4,4,3,5,1,3,1,3,1,5,4,4,4,5,1,2,1,5,2,5,2,4,3,5,1,2,1,4,2,2,2,4,4,5,3,1,3,3,4,3,1,5,3,5,5,2,4
4,3,1,4,3,4,2,5,1,3,4,3,1,5,5,1,5,5,3,1,4,5,1,5,5,3,3,4,1,3,4,1,1,4,3,3,5,5,1,3,3,1,5,4,3,4,4,5,4,4,3
5,3,1,4,1,5,1,5,4,4,2,4,1,5,3,3,2,5,2,3,2,5,1,3,4,4,1,5,3,4,3,3,1,3,2,4,3,5,1,1,4,3,5,4,3,2,1,5,4,2,4
6,3,1,1,4,5,1,5,4,2,2,3,1,3,4,3,3,4,4,3,2,4,1,1,3,3,2,4,4,4,3,4,1,3,4,3,3,3,2,3,4,3,5,2,4,4,3,3,2,2,4
7,3,1,4,4,5,2,5,3,2,4,4,1,5,5,2,4,5,2,2,3,4,1,2,2,3,2,4,3,4,4,1,2,4,4,4,5,5,3,4,3,1,5,4,2,4,3,45,4,3,2
8,4,1,3,5,3,2,4,1,3,3,3,2,4,4,3,2,5,3,2,3,4,2,3,3,3,2,5,1,4,2,5,1,4,3,3,3,3,3,3,2,2,4,3,4,2,3,4,5,2,4
9,2,1,3,5,2,1,4,3,2,3,2,3,2,4,3,2,3,2,4,3,5,2,1,1,2,2,3,3,2,1,3,2,3,2,4,3,3,3,3,2,3,3,2,4,3,2,2,3,1,2
10,3,1,4,5,3,2,4,3,2,4,4,2,4,5,2,3,4,4,2,2,2,2,4,4,2,3,4,4,4,3,4,1,4,3,3,4,4,2,3,2,3,4,4,3,4,3,4,4,4,2
11,5,1,5,3,4,1,5,1,4,2,3,1,5,3,3,2,5,1,2,4,5,1,5,2,5,1,5,1,2,2,5,1,2,1,5,4,5,1,1,4,3,5,5,2,5,4,5,4,1,3
12,1,2,4,4,3,4,4,2,4,3,2,1,5,5,4,4,4,2,2,2,2,3,3,3,3,3,4,2,4,3,2,2,4,3,4,5,2,3,1,2,2,4,3,3,5,5,3,4,4,3
13,3,1,4,4,4,2,4,4,3,4,3,2,3,4,2,2,4,2,4,3,3,1,3,3,2,3,4,3,2,4,3,2,3,3,3,4,4,2,3,3,2,4,3,3,2,3,3,3,2,3
14,3,2,2,2,5,3,5,5,4,1,4,1,5,4,5,2,5,4,4,1,4,1,1,3,4,1,5,4,3,1,5,1,5,4,3,4,3,3,2,4,2,5,1,2,5,3,3,4,1,5
15,4,1,2,4,3,2,4,5,3,2,4,1,4,4,3,3,5,4,3,2,3,1,2,3,3,2,5,5,5,3,4,1,2,2,4,4,5,3,2,2,2,5,2,1,5,2,4,3,3,3
16,4,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,4,1,5,1,3,1,5,1,5,1,5,3,5,1,1,5,4,5,5,1,5,2,4,4,1,5
17,4,1,5,5,4,2,5,1,4,1,4,1,5,4,5,3,5,1,2,1,3,1,4,2,3,1,4,1,2,2,4,1,5,2,4,4,4,2,2,3,2,4,5,4,4,3,4,4,2,3
18,3,1,2,4,4,1,5,1,3,4,3,3,5,5,2,3,5,3,3,3,5,1,1,5,3,2,4,1,3,4,5,1,5,3,2,4,5,2,2,4,3,5,1,4,4,3,3,3,2,2
19,3,1,4,5,4,2,4,2,1,4,2,1,4,5,2,4,5,2,2,3,2,1,2,4,3,2,4,2,4,4,2,2,4,4,4,5,3,3,3,4,2,5,3,3,3,4,4,3,4,2
20,3,1,1,5,4,3,4,3,2,4,3,1,3,5,5,3,5,4,4,2,2,1,3,4,4,3,5,5,4,2,2,2,4,4,3,4,5,3,4,4,2,5,1,4,3,5,4,3,4,3
21,5,1,4,5,4,1,5,2,2,4,5,1,5,5,1,1,5,3,3,3,5,1,5,5,1,3,4,1,3,5,5,1,3,4,3,2,5,3,5,3,5,5,4,4,5,1,5,3,3,2
22,3,4,5,4,4,4,4,1,4,1,3,3,5,4,5,4,4,3,3,1,3,1,1,2,4,4,4,2,3,1,2,3,4,2,3,3,5,1,1,2,1,4,3,3,4,3,3,3,2,5
23,2,1,4,3,4,2,4,2,3,2,3,1,4,5,3,2,4,2,1,2,3,1,2,3,3,2,5,2,5,2,1,1,4,5,4,3,4,1,5,4,3,4,1,2,4,4,3,3,4,4
24,2,1,4,5,5,4,5,2,1,3,3,4,5,5,5,4,5,3,1,2,4,3,4,3,4,2,5,1,4,1,4,2,4,5,2,5,5,3,5,5,2,5,5,5,5,4,4,5,5,5
25,3,1,2,4,3,2,4,4,1,2,5,2,4,4,3,2,4,3,2,3,4,1,2,5,2,2,4,4,4,2,4,1,4,3,1,3,4,3,2,2,2,4,2,4,2,4,3,3,2,3
26,1,1,5,1,2,4,4,1,2,1,2,4,5,4,5,5,4,4,4,3,2,1,5,1,4,1,4,1,1,1,1,1,5,2,4,5,4,1,4,4,1,4,5,4,1,5,2,4,2,4
27,3,1,4,5,4,1,5,2,2,4,4,1,4,4,3,2,4,2,4,4,4,1,2,5,3,1,5,4,5,5,4,1,3,4,4,5,5,4,4,2,2,4,1,4,4,4,4,4,4,3
28,1,2,4,4,2,2,5,1,4,4,3,1,5,4,2,4,4,1,1,3,3,2,2,4,2,2,4,2,2,2,3,1,3,4,4,4,3,3,2,2,3,4,2,2,4,1,4,4,2,2
29,3,1,4,5,4,1,5,2,2,2,3,2,4,5,5,2,5,2,4,2,4,2,3,3,3,2,4,1,4,1,4,1,5,5,4,4,4,2,5,3,2,4,4,5,5,4,4,3,4,3
30,4,5,5,5,3,2,4,4,1,2,4,4,5,5,4,2,5,5,3,2,4,1,4,4,3,1,4,5,5,2,5,1,4,5,4,4,5,4,5,4,3,5,5,5,5,2,4,4,3,5
31,3,5,5,4,3,3,3,1,3,4,3,1,5,4,3,3,4,1,3,3,3,4,4,2,3,2,4,1,2,3,3,2,4,2,3,3,3,1,2,2,2,5,5,2,4,5,5,4,2,2
32,4,1,4,4,2,2,4,4,5,4,5,1,3,4,4,2,4,3,4,2,5,2,4,5,3,2,4,4,3,2,4,1,4,2,2,4,5,3,2,2,4,4,4,2,2,3,4,4,2,2
33,2,2,3,4,3,2,3,4,2,3,3,2,4,5,4,2,4,4,3,2,3,2,2,3,3,2,4,4,4,2,4,2,3,3,2,3,4,3,5,3,2,4,1,4,3,2,3,3,2,4
34,3,1,2,3,4,2,4,4,1,1,4,2,3,4,4,2,5,4,2,1,3,1,3,4,2,2,5,2,4,1,3,1,3,2,3,4,5,3,4,4,2,5,2,3,5,2,4,3,4,3
35,2,1,4,5,3,3,5,1,1,3,2,4,2,5,1,3,4,4,4,4,3,1,3,3,2,2,5,1,5,5,1,1,5,5,4,5,3,1,5,3,1,3,4,5,2,5,3,4,4,3
36,4,1,2,4,4,1,5,4,3,4,5,2,5,5,3,2,5,3,2,2,5,1,2,4,4,1,5,1,3,3,4,1,4,4,3,2,5,3,4,4,5,4,4,4,4,1,4,4,4,3
37,3,1,2,4,4,3,4,2,2,4,3,2,4,4,3,4,5,3,2,2,4,2,3,2,3,3,4,2,3,3,2,4,4,2,3,4,4,3,3,5,2,4,3,2,2,2,3,2,4,3
38,3,1,4,5,4,1,5,3,2,2,3,1,4,4,4,3,5,2,2,1,4,1,1,5,3,1,5,4,4,1,2,1,5,5,4,3,4,2,5,3,3,5,5,4,3,4,4,4,3,4
39,5,1,4,4,2,4,4,2,2,3,4,1,2,4,4,2,4,3,3,3,4,1,2,2,4,4,4,2,4,2,4,1,2,4,4,2,4,3,4,2,4,4,4,4,2,4,4,4,4,4
40,2,1,2,3,3,3,4,4,4,2,3,3,4,3,4,4,4,4,3,1,2,2,2,3,2,2,4,4,2,2,1,1,4,4,3,3,3,2,3,3,4,3,2,4,5,4,3,3,4,4
41,1,2,4,5,3,5,4,3,3,4,2,2,3,5,2,5,4,3,3,2,2,2,2,4,3,4,4,3,1,4,1,2,3,4,3,5,4,2,2,2,1,3,3,3,4,5,3,2,3,2
42,1,1,2,5,1,5,5,5,1,1,5,1,5,5,2,5,5,1,1,1,1,1,5,1,4,1,5,1,3,3,4,1,5,1,5,5,5,1,1,1,3,5,5,1,1,1,5,3,1,4
43,1,5,2,5,1,4,5,5,1,1,4,1,4,5,1,4,5,4,5,4,1,1,3,5,1,5,5,5,4,5,3,1,2,4,1,5,4,4,5,2,1,4,4,3,3,5,1,1,4,1
44,4,1,3,5,4,1,5,5,2,2,5,2,5,4,5,1,4,3,2,1,5,1,2,4,4,1,4,4,4,1,5,1,3,4,3,1,4,2,3,4,5,5,2,2,4,1,5,4,4,4
45,1,1,5,4,2,1,5,1,1,4,5,1,5,5,3,2,5,1,1,1,5,1,4,2,3,1,5,1,2,4,4,1,5,1,3,5,5,1,1,1,1,5,5,1,5,4,5,4,4,3
46,4,1,4,3,3,1,5,3,2,3,5,1,5,5,3,1,5,3,1,1,5,1,1,1,3,1,5,3,3,4,5,1,5,5,4,3,5,1,4,1,1,3,5,5,5,5,5,3,3,3
47,3,2,4,5,3,4,3,2,2,4,3,3,4,5,2,4,3,2,2,4,2,4,3,4,1,2,4,2,5,5,4,2,5,4,4,4,4,3,4,3,3,3,4,5,3,4,3,5,4,1
48,2,1,4,5,3,2,5,4,2,4,3,2,4,5,2,2,4,4,2,3,4,1,3,4,2,2,5,4,5,4,3,1,5,4,4,4,4,2,5,2,1,4,4,5,4,2,4,4,3,1
