subj,subculture,pre_emotion,pre_pa,pre_na,post_emotion,post_pa,post_na
17,Goth,45,28,17,47,34,13
18,Metal,36,26,10,30,20,10
22,Goth,24,13,11,34,24,10
23,Metal,37,22,15,38,28,10
25,Emo,53,20,33,61,36,25
26,Metal,45,28,17,50,37,13
27,Goth,37,24,13,34,24,10
30,Emo,34,13,21,35,15,20
31,Goth,22,12,10,24,13,11
32,Goth,34,14,20,30,16,14
33,Mainstream,54,41,13,50,38,12
34,Goth,42,29,13,42,32,10
40,Goth,29,18,11,22,12,10
42,Emo,31,18,13,40,30,10
43,Goth,40,30,10,43,33,10
44,Metal,36,22,14,45,35,10
45,Goth,31,19,12,30,15,15
47,Emo,41,14,27,34,12,22
50,Goth,54,43,11,61,50,11
51,Metal,53,38,15,50,38,12
53,Metal,40,28,12,44,34,10
54,Emo,32,21,11,39,29,10
55,Emo,56,41,15,52,42,10
57,Metal,44,26,18,46,31,15
58,Metal,33,22,11,38,28,10
59,Emo,37,25,12,38,26,12
62,Emo,58,29,29,51,31,20
63,Goth,45,32,13,47,35,12
65,Goth,35,23,12,31,19,12
76,Emo,33,22,11,35,25,10
77,Goth,52,33,19,49,37,12
79,Metal,25,15,10,40,28,55
82,Emo,35,22,13,40,30,10
83,Emo,39,28,11,42,31,11
83,Emo,39,28,11,42,31,11
84,Goth,29,12,17,41,29,12
85,Goth,44,27,17,45,31,14
86,Emo,34,14,20,33,23,10
89,Metal,40,24,16,48,33,15
97,Goth,37,24,13,55,33,22
100,Emo,35,16,19,36,24,12
101,Goth,46,18,28,41,22,19
102,Metal,30,15,15,30,19,11
104,Metal,30,16,14,33,23,10
106,Emo,45,26,19,45,26,19
108,Emo,67,40,27,60,36,24
110,Goth,42,24,18,46,32,14
111,Emo,46,24,22,45,28,17
112,Emo,24,14,10,23,13,10
116,Goth,50,40,10,53,43,10
121,Goth,43,11,32,31,12,19
128,Goth,34,22,12,39,28,11
128,Goth,34,22,12,39,28,11
129,Goth,38,25,13,44,33,11
130,Goth,47,20,27,39,19,20
131,Emo,46,22,24,45,20,25
164,Goth,32,22,10,36,26,10
165,Emo,38,22,16,31,18,13
169,Goth,45,35,10,47,37,10
172,Metal,36,19,17,41,28,13
173,Emo,53,38,15,53,41,12
175,Metal,54,26,28,53,31,22
181,Goth,56,39,17,54,41,13
183,Goth,41,30,11,41,31,10
184,Emo,34,20,14,42,28,14
189,Goth,37,25,12,46,36,10
200,Goth,39,19,20,31,20,11
201,Goth,39,28,11,47,37,10
202,Emo,42,20,22,49,36,13
207,Metal,48,34,14,44,32,12
208,Emo,39,17,22,41,27,14
210,Goth,32,19,13,36,25,11
221,Metal,50,36,14,51,41,55
223,Emo,36,22,14,47,34,13
225,Metal,27,13,14,26,12,14
228,Goth,22,11,11,28,17,11
229,Goth,31,17,14,31,17,14
230,Emo,46,21,25,34,18,16
231,Emo,51,17,34,38,17,21
237,Emo,60,29,31,58,31,27
242,Goth,28,18,10,33,23,10
243,Emo,37,24,13,47,32,15
244,Goth,46,23,23,40,30,10
245,Goth,23,13,10,22,12,10
247,Emo,47,26,21,44,29,15
249,Emo,43,18,25,30,15,15
250,Emo,39,22,17,50,38,12
252,Goth,42,20,22,35,17,18
254,Emo,36,14,22,36,18,18
255,Emo,29,18,11,30,20,10
257,Goth,34,24,10,34,24,10
259,Emo,37,24,13,43,29,14
260,Goth,46,26,20,49,36,13
261,Emo,35,22,13,41,31,10
262,Emo,52,28,24,60,33,27
263,Metal,43,29,14,50,40,10
264,Goth,56,42,14,59,47,12
265,Metal,48,32,16,52,36,16
266,Goth,29,19,10,30,20,10
267,Emo,56,30,26,59,27,32
268,Metal,38,26,12,52,39,13
275,Metal,26,11,15,27,17,10
285,Metal,37,24,13,33,23,10
286,Goth,54,29,25,49,28,21
287,Goth,36,25,11,39,29,10
289,Metal,52,37,15,48,37,11
291,Goth,37,23,14,41,25,16
293,Emo,42,26,16,32,16,16
294,Emo,46,14,32,45,27,18
295,Metal,43,15,28,41,22,19
303,Goth,48,32,16,39,28,11
304,Metal,25,14,11,57,38,19
305,Emo,41,21,20,31,21,10
308,Metal,37,21,16,43,30,13
314,Metal,58,33,25,50,39,11
315,Emo,45,32,13,43,33,10
316,Goth,28,18,10,35,25,10
317,Metal,31,13,18,24,11,13
318,Emo,38,24,14,49,38,11
319,Goth,28,18,10,28,18,10
320,Goth,30,14,16,24,14,10
321,Metal,47,37,10,56,45,11
322,Metal,42,28,14,42,32,10
324,Metal,47,35,12,50,37,13
326,Goth,45,35,10,46,35,11
327,Goth,25,14,11,26,14,12
327,Goth,25,14,11,26,14,12
329,Metal,37,21,16,41,30,11
330,Goth,28,14,14,35,23,12
333,Metal,36,26,10,38,28,10
336,Emo,48,20,28,46,25,21
337,Emo,35,20,15,38,22,16
340,Emo,36,19,17,48,35,13
341,Metal,31,20,11,31,21,10
343,Metal,27,13,14,24,12,12
345,Metal,44,31,13,32,22,10
347,Goth,50,26,24,50,26,24
348,Emo,24,12,12,28,16,12
349,Emo,37,20,17,36,25,11
351,Goth,27,17,10,30,20,10
353,Emo,27,17,10,31,20,11
356,Emo,39,24,15,48,36,12
357,Metal,30,16,14,36,20,16
358,Goth,35,16,19,37,22,15
361,Goth,36,20,16,33,22,11
362,Goth,38,17,21,34,19,15
364,Goth,33,19,14,33,22,52
366,Mainstream,43,32,11,45,35,10
367,Goth,43,27,16,36,24,12
376,Metal,27,16,11,28,18,10
377,Goth,30,20,10,33,23,10
378,Metal,23,13,10,31,21,10
393,Goth,44,34,10,46,36,10
397,Metal,35,21,14,38,26,12
399,Emo,47,19,28,54,36,18
400,Emo,43,15,28,53,28,25
406,Goth,31,15,16,34,22,12
412,Metal,34,22,12,41,31,10
415,Emo,27,16,11,34,24,10
416,Mainstream,37,25,12,36,26,10
424,Emo,33,23,10,43,29,14
430,Emo,35,18,17,41,29,12
431,Emo,36,19,17,36,24,12
432,Goth,33,23,10,38,28,10
447,Metal,55,29,26,47,34,13
448,Metal,31,21,10,37,27,10
449,Emo,37,22,15,41,29,12
451,Emo,44,29,15,51,37,14
452,Emo,60,25,35,48,27,21
456,Goth,28,18,10,31,21,10
470,Metal,36,23,13,38,28,10
473,Goth,39,26,13,34,24,10
474,Emo,26,14,12,35,20,15
475,Emo,31,15,16,28,15,13
476,Emo,47,16,31,35,11,24
478,Emo,43,30,13,33,18,15
483,Metal,37,27,10,42,32,10
484,Goth,58,34,24,59,42,17
486,Goth,47,30,17,44,31,13
487,Emo,37,18,19,42,29,13
488,Emo,68,27,41,65,28,37
490,Goth,36,25,11,37,21,16
491,Emo,48,30,18,55,40,15
494,Emo,33,20,13,38,24,14
498,Emo,54,17,37,41,12,29
500,Emo,42,20,22,42,27,15
502,Emo,42,32,10,49,39,10
505,Goth,47,29,18,46,34,12
508,Mainstream,43,27,16,41,31,10
509,Goth,24,13,11,23,12,11
510,Emo,41,31,10,43,33,10
512,Metal,25,15,10,28,18,10
513,Emo,39,15,24,40,25,15
515,Goth,57,30,27,47,27,20
516,Mainstream,41,27,14,39,29,10
518,Goth,35,23,12,44,30,14
520,Goth,53,37,16,55,45,10
523,Mainstream,47,37,10,54,43,11
524,Mainstream,48,35,13,48,38,10
525,Mainstream,42,31,11,47,37,10
526,Metal,37,24,13,38,27,11
528,Mainstream,36,26,10,39,29,10
532,Goth,47,29,18,41,26,15
533,Emo,46,28,18,44,26,18
534,Emo,40,27,13,42,32,10
535,Metal,33,20,13,54,42,12
536,Mainstream,34,22,12,32,22,10
537,Goth,46,32,14,46,36,10
538,Mainstream,34,24,10,27,15,12
539,Emo,38,18,20,43,27,16
540,Mainstream,29,14,15,35,24,11
541,Mainstream,45,22,23,40,20,20
543,Emo,45,31,14,40,28,12
544,Goth,35,18,17,33,18,15
545,Mainstream,57,30,27,51,30,21
547,Emo,24,14,10,29,19,10
548,Metal,39,22,17,39,26,13
550,Mainstream,48,37,11,47,36,11
551,Mainstream,50,30,20,48,31,17
554,Mainstream,43,32,11,46,36,10
555,Emo,47,28,19,54,40,14
557,Metal,40,26,14,46,33,13
558,Metal,39,26,13,46,36,10
559,Mainstream,44,32,12,48,38,10
562,Mainstream,27,17,10,31,21,10
564,Mainstream,29,17,12,29,19,10
565,Mainstream,34,15,19,34,19,15
566,Mainstream,36,23,13,38,28,10
567,Mainstream,44,28,16,44,30,14
568,Mainstream,32,22,10,42,32,10
569,Mainstream,29,17,12,31,17,14
571,Mainstream,43,33,10,47,37,10
572,Mainstream,40,27,13,33,23,10
573,Mainstream,61,41,20,59,43,16
578,Mainstream,42,14,28,35,11,24
579,Mainstream,47,32,15,41,30,11
581,Mainstream,26,13,13,23,12,11
583,Mainstream,21,11,10,21,11,10
584,Mainstream,44,33,11,40,30,10
585,Mainstream,32,22,10,41,31,10
587,Mainstream,33,19,14,30,19,11
588,Mainstream,36,26,10,42,32,10
592,Mainstream,32,16,16,34,20,14
593,Mainstream,26,16,10,29,19,10
595,Metal,46,30,16,44,32,12
596,Mainstream,45,31,14,44,30,14
598,Metal,52,34,18,54,44,10
599,Metal,48,32,16,45,34,11
600,Mainstream,44,22,22,39,19,20
601,Metal,22,12,10,24,14,10
607,Mainstream,39,20,19,40,28,12
611,Metal,28,16,12,37,24,13
612,Metal,33,18,15,37,21,16
615,Metal,54,31,23,56,40,16
616,Metal,37,26,11,37,26,11
619,Metal,35,21,14,39,28,11
620,Emo,25,13,12,25,14,11
621,Metal,39,26,13,55,44,11
622,Emo,28,17,11,29,18,11
626,Mainstream,34,18,16,25,13,12
627,Emo,27,13,14,32,21,11
628,Mainstream,31,19,12,40,30,10
629,Metal,33,18,15,39,29,10
632,Mainstream,34,22,12,22,11,11
633,Mainstream,40,20,20,41,22,19
635,Mainstream,42,31,11,43,33,10
637,Mainstream,32,14,18,38,24,14
638,Mainstream,36,22,14,36,23,13
639,Mainstream,31,21,10,26,14,12
641,Mainstream,37,26,11,34,24,10
643,Mainstream,35,16,19,34,23,11
650,Mainstream,33,22,11,29,16,13
651,Mainstream,37,21,16,40,24,16
654,Mainstream,26,13,13,28,18,10
655,Mainstream,43,25,18,43,31,12
656,Goth,44,29,15,59,37,22
657,Mainstream,35,22,13,32,19,13
660,Mainstream,31,16,15,31,14,17
661,Mainstream,22,12,10,26,16,10
665,Metal,44,32,12,44,34,10
666,Metal,57,41,16,57,41,66
667,Metal,55,38,17,56,45,11
669,Metal,42,31,11,46,34,12
675,Metal,38,22,16,48,32,16
676,Metal,39,27,12,47,36,11
677,Metal,64,37,27,58,39,19
678,Metal,36,25,11,44,33,11
679,Metal,52,38,14,50,40,10
684,Metal,52,32,20,52,32,20
692,Emo,49,35,14,54,38,16
694,Mainstream,36,21,15,33,21,12
697,Metal,35,15,20,29,17,12
699,Goth,30,17,13,27,15,12
700,Metal,41,25,16,43,30,13
701,Metal,43,31,12,53,43,10
703,Metal,34,23,11,42,31,11
705,Metal,46,22,24,51,34,17
