subj,openness,conscientiousness,extraversion,agreeableness,neuroticism,problems,ftt,psiq
1,3.9,3.8,2.4,4.6,3,4,8.333333333333334,8.228571428571428
2,3.2,3.2,3.8,3.8,3.6,1,0.6666666666666666,7.085714285714285
3,4.3,4.3,3.1,4.7,3.5,2,7.333333333333333,9.771428571428572
4,2.7,4.4,2.4,4.9,2.3,2,7.333333333333333,6.714285714285714
5,3.7,3.7,4,5,3.5,1,9.666666666666666,5.742857142857143
6,3.7,2.2,3.5,4.4,2.5,3,8.666666666666666,7.142857142857143
7,3,3.6,2.7,4.777777777777778,2.4,1,5,6.942857142857143
8,3,3.8,3.6,4.3,2.5,2,5.666666666666667,6.285714285714286
9,2.9,2.7,3.5,3.4,3.2,1,5,6.885714285714286
10,2.7,3.5,3.1,4.2,2.1,3,5.666666666666667,7.914285714285715
11,3.9,4.6,3.9,5,3.9,2,5,3.5714285714285716
12,3.4,3.8,1.8,3.7,2.7,2,6.666666666666667,5.428571428571429
13,2.6,3.2,3,4.1,3.1,0,4,6.2
14,4.6,2.6,3.5,4.5,3.5,1,6.666666666666667,7.857142857142857
15,3.4,2.2,3.4,4.8,3,0,5.333333333333333,7.485714285714286
16,4.9,4.9,4.5,4.9,4.8,1,7,9.485714285714286
17,4,4.7,3.4,4.6,3.1,1,6.333333333333333,4.828571428571428
18,2.8,3.4,3.6,4.5,2.6,1,3.6666666666666665,7.457142857142857
19,2.9,3.5,2.4,4.4,1.9,2,7.666666666666667,7.514285714285714
20,3.6,2.4,2.4,4.7,2,3,8.333333333333334,6.6571428571428575
21,2.5,3.9,4.7,4.9,1.9,2,5.333333333333333,5.6
22,4.2,3.8,2.4,3.7,3.4,2,8.666666666666666,9.485714285714286
23,3.8,3.5,2.9,4.4,2,0,6.333333333333333,6.714285714285714
24,4.3,4.2,2.6,4.3,1.3,1,6,8.8
25,2.7,2.7,3.5,4.2,2.3,1,6.666666666666667,8.17142857142857
26,3.7,4.6,1.7,3.9,3.5,2,5.333333333333333,6.771428571428571
27,2.8,3,3.4,4.7,1.9,2,5,7.428571428571429
28,2.7,3.7,3,4.2,2.9,2,5,5.2
29,4,4,3.3,4.4,1.8,1,9,7.942857142857143
30,4,3.3,3.9,4,1.5,1,8,6.314285714285714
31,2.8,4.7,2.8,3.6,3.4,1,2.3333333333333335,6.685714285714286
32,2.7,3.3,3.9,4.4,3.3,1,9.333333333333334,6.114285714285714
33,3.3,2.5,3.3,3.8,2.3,2,4.666666666666667,6.085714285714285
34,4,2.7,3.3,4.7,2.3,1,8.666666666666666,8.085714285714285
35,2.4,3.9,2.1,4,1.6,1,5,5.171428571428572
36,3.4,3.4,4.6,4.7,2.1,3,5,6.771428571428571
37,3.2,3.2,2.8,3.9,2.8,1,8,5.9714285714285715
38,3.9,3.6,3.3,4.8,1.7,3,10,6.457142857142857
39,3.2,3.2,3.5,4.4,2.3,0,3.6666666666666665,8.2
40,3.7,2.7,2.6,3.8,2.9,3,7.333333333333333,5.228571428571429
41,2.7,3,1.3,3.8,2.7,2,4.333333333333333,5.2
42,3.1,4.1,2.7,5,3.2,1,5.666666666666667,9.17142857142857
43,1.8,2.2,1.7,4,1.9,3,8,8.514285714285714
44,4.2,2.9,4.9,4.6,2.2,2,7,8.857142857142858
45,2.9,4.8,3.3,5,3,1,5.666666666666667,4.142857142857143
46,3.2,3.7,3.9,4.8,2.2,1,5,8.17142857142857
47,2.2,4,2.7,3.3,1.6,1,8.333333333333334,6.514285714285714
48,2.5,3.4,3.1,4.5,1.6,2,4.666666666666667,3.742857142857143
