subj,level,lcval,expect
162,1,-0.003427545118490458,4.2
162,2,-0.022616843398543248,3.625
162,3,-0.0443154332419819,3.5
163,1,-3.8720911490251677e-4,2.6
163,2,-0.13513670594862912,2.75
163,3,0.09163099439829431,4.2
165,1,0.096547878559792355,4.4
165,2,0.018497617368423275,3.625
165,3,0.1292174364117527,2.9
168,1,0.11089717666878741,3.6
168,2,0.1105338426400388,3.875
168,3,0.15265713235188222,3.8
170,1,-0.0324319583838876,3.4
170,2,0.007037481063205075,3.75
170,3,-0.0774337956897336,3.2
172,1,0.06545993708262192,3.7
172,2,0.03788826446213908,3.75
172,3,9.958802791288836e-4,2.5
174,1,0.10359433133013363,3.4
174,2,-0.03578981305137425,3
174,3,0.10010849885377415,1.9
184,1,-0.0435490977729199,4
184,2,-0.03230593960006749,3.125
184,3,-0.04527811977956735,2.5
186,1,0.010319651328429241,3.4
186,2,-0.0024471054021183093,3.25
186,3,0.012851321600377634,2.4
188,1,0.050893361828191444,3.3
188,2,0.05211020605159099,2.75
188,3,0.02289144915294167,2.9
191,1,-0.06522821189417373,3.3
191,2,0.1328893022773902,3.875
191,3,-0.09704970635795175,2.8
193,1,-0.04896939811921702,3.6
193,2,0.11811840046503863,3
193,3,-0.005535441493656473,3
195,1,0.021439491881256757,4.1
195,2,-0.004761064003830185,3
195,3,-0.018218553357810058,2.7
196,1,0.1351478123882463,3.4
196,2,0.10869423330903474,2.5
196,3,0.02256146590920805,3.6
197,1,-2.1269823243922487e-4,4.1
197,2,0.054183021243015946,3.875
197,3,0.02580483282205949,2.7
198,1,0.012553410492140184,3.5
198,2,0.06110171675048865,3.625
198,3,0.0018779649463378807,3.4
200,1,0.21520326742666776,3.7
200,2,0.14526287341257038,3
200,3,0.23237663298482372,3
202,1,-0.006715270242806017,3.8
202,2,-0.003856679367356694,2.25
202,3,-0.0048059136687027965,1.7
204,1,0.0951375513567916,3.3
204,2,-0.01091343043980837,3.25
204,3,-0.04724223025671737,1.7
206,1,-0.02089997844223402,3.9
206,2,0.008171132480571571,3.5
206,3,-0.012325749710478184,2.6
208,1,-0.006816425452553384,4.4
208,2,-0.010702835708296533,3.5
208,3,-0.01878558713393182,3
210,1,0.08206337757302083,3.9
210,2,0.11923274777691173,3.75
210,3,0.03424358443564664,2.5
212,1,-0.013317647625784641,3.5
212,2,0.019591264527802334,3.375
212,3,-0.00623429033530259,3.1
214,1,-0.004878086852704924,3.6
214,2,-0.01534554981822957,2.5
214,3,-0.027368635815067918,2.1
216,1,0.0060587172907549695,4
216,2,0.006735320576217129,3.125
216,3,-0.0189099553004624,2.9
219,1,0.3392553894579407,3.7
219,2,0.04049435289785123,3.625
219,3,0.1433173097703722,2.1
221,1,-0.02698354860717281,3.2
221,2,0.003259915034652675,2.5
221,3,0.058496693916777406,2.1
223,1,-0.0016774063641433747,3.7
223,2,0.001938903547025988,1.375
223,3,0.02228651836583658,1.8
225,1,0.0076290659158213545,3.4
225,2,-0.053832432010188856,3.875
225,3,-0.019044458979972707,3.5
227,1,0.40592098160126316,3
227,2,0.28169743394295815,3.25
227,3,0.22521740316488054,3.9
229,1,-0.24427165129958914,3
229,2,0.1497135891654717,2.75
229,3,-0.047657769219594776,2.4
231,1,0.05505381910217227,2.3
231,2,0.029347880133554317,2.5
231,3,-0.04339914049908674,3.7
233,1,0.04384258794198368,2.9
233,2,-0.05136817405449828,2.75
233,3,-0.04421791635501429,4.3
235,1,0.10166406802908812,4.3
235,2,-0.11046247199838449,3.375
235,3,-0.0725273207522179,3
237,1,-0.004386862651076152,4.1
237,2,0.05141825298395526,2.875
237,3,-0.004678854550055247,2.8
238,1,-0.006493010171635932,3.6
238,2,-0.012224771007409228,3.75
238,3,-0.013829919437567575,2.7
240,1,0.053962372920406974,3.7
240,2,0.016961020009149737,3.375
240,3,0.10444064851918243,3.3
241,1,0.010121122835683347,4.2
241,2,-0.0613154896182205,3.25
241,3,-0.10784367943497976,1.8
242,1,0.26878813324854994,4.7
242,2,0.23549669840206844,2.875
242,3,0.15443283109863287,2.2
243,1,0.10822099416697224,3.4
243,2,-0.029847820118446156,2.875
243,3,-0.08070288754368807,2.7
244,1,0.37204578757307377,4
244,2,0.3749681331197694,4.125
244,3,0.16781232864837772,2.2
246,1,0.04743062615313165,3.3
246,2,0.03354979827870371,3
246,3,-0.019908215111956232,3.1
248,1,-0.021399255187144597,4.1
248,2,0.02108158325130582,3.125
248,3,0.04541245032870745,2.5
