subj,gender,cards,nc,np,pc,pp,cdi_u,cdi_s,related_nc,related_np,related_pc,related_pp
1,female,english,12,4,NA,NA,62,38,0,5,NA,NA
2,male,italian,18,12,17,9,60,59,0,2,0,3
3,female,english,18,13,17,9,97,85,0,3,0,0
4,male,italian,17,11,15,12,82,45,0,4,0,2
5,female,english,17,15,15,10,66,66,0,2,0,0
6,male,italian,18,11,15,7,47,32,0,2,0,1
7,male,english,17,10,13,9,39,27,0,7,0,3
8,female,italian,18,14,19,11,35,31,0,2,0,3
9,male,english,20,14,16,9,22,39,0,2,0,6
10,male,italian,7,2,NA,NA,34,10,0,1,NA,NA
11,female,english,19,12,14,8,49,28,0,4,0,4
12,female,italian,19,14,16,6,98,85,0,2,0,5
13,female,english,19,10,16,7,50,36,0,5,0,3
14,female,italian,17,11,17,5,62,56,0,3,0,2
15,female,english,20,16,17,10,81,60,0,3,0,1
16,male,italian,17,13,13,5,83,59,0,3,0,2
17,female,english,19,13,13,8,87,88,0,3,0,1
18,female,italian,NA,NA,NA,NA,49,19,NA,NA,NA,NA
19,female,italian,16,11,18,10,63,63,0,4,0,1
